aminerKey,dblpKey,title
278831,2193254,Combining Fuzzy Information from Multiple Systems.
801679,2193252,"Roads, Codes and Spatiotemporal Queries."
809247,2193251,Computing cores for data exchange: new algorithms and practical solutions.
1770121,2193250,Deterministic regular expressions in linear time.
879626,2551226,Constructing informative prior distributions from domain knowledge in text classification.
131559,2193259,"On the Complexity of Propositional Knowledge Base Revision, Updates, and Counterfactuals."
2006040,2909679,Exploring weakly supervised latent sentiment explanations for aspect-level review analysis.
1642072,2909676,Perspective hierarchical dirichlet process for user-tagged image modeling.
316547,2909677,A Distributed Multi-Agent System for Collaborative Information Management and Sharing.
1641977,2909674,Content-driven detection of campaigns in social media.
1292794,2909675,XQGen: an algebra-based XPath query generator for micro-benchmarking.
260029,2909672,A Toggle Transaction Management Technique for Mobile Multidatabases.
287216,2909673,ZBroker: A Query Routing Broker for Z39.50 Databases.
1642086,2909670,Finding information nebula over large networks.
1130968,2907942,A method to predict social annotations.
1292768,2907943,Automatic generation of topic pages using query-based aspect models.
1292550,2907946,Reducing the risk of query expansion via robust constrained optimization.
1019135,2907947,Proximity-based document representation for named entity retrieval.
1130914,2907944,Blog site search using resource selection.
1019163,2907945,"""I know what you did last summer"": query logs and user privacy."
883836,2893008,Robust Fragments-based Tracking using the Integral Histogram.
838408,2911947,Person resolution in person search results: WebHawk.
413644,2911946,Mining soft-matching association rules.
838461,2911943,Using RankBoost to compare retrieval systems.
730031,2911942,XML parsing: a threat to database performance.
812509,2893000,Object Class Recognition Using Multiple Layer Boosting with Heterogeneous Features.
2014255,2893003,Expanded Parts Model for Human Attribute and Action Recognition in Still Images.
884043,2893002,A Graph Based Approach for Naming Faces in News Photos.
1750347,2893006,From 3D scene geometry to human workspace.
1598520,2549661,"Decayed DivRank: capturing relevance, diversity and prestige in information networks."
199810,2909866,A General Method for Spatial Reasoning in Spatial Databases.
1450925,2549663,Multilingual people search.
1991870,2518601,Collaborative matrix factorization with multiple similarities for predicting drug-target interactions.
1605999,2518600,Frontex real-time news event extraction framework.
577222,2518603,"Query, analysis, and visualization of hierarchically structured data using Polaris."
1451247,2518602,GLS-SOD: a generalized local statistical approach for spatial outlier detection.
1214635,2518605,New ensemble methods for evolving data streams.
823343,2518604,A general model for clustering binary data.
1991849,2518607,The bang for the buck: fair competitive viral marketing from the host perspective.
1991819,2518606,Network discovery via constrained tensor analysis of fMRI data.
1083720,2518609,Identifying authoritative actors in question-answering forums: the case of Yahoo! answers.
1214652,2518608,A multi-relational approach to spatial classification.
1400046,2549664,Caching search engine results over incremental indices.
1925613,1700117,Structured Apprenticeship Learning.
1100180,1700116,A Cooperative Game Theoretic Approach to Prototype Selection.
1673567,1700111,Mining Model Trees from Spatial Data.
1617259,1700110,Is There a Best Quality Metric for Graph Clusters?
478123,1700113,Discovery of Ambiguous Patterns in Sequences: Application to Bioinformatics.
1267773,1700112,Statistical Relational Learning with Formal Ontologies.
2006236,2909860,Efficient pruning algorithm for top-K ranking on dataset with value uncertainty.
1267763,1700118,Dynamic Factor Graphs for Time Series Modeling.
1393160,2867763,A Hybrid Multi-group Privacy-Preserving Approach for Building Decision Trees.
2055414,2155778,An experimental evaluation of bidders' behavior in ad auctions.
956648,2155779,Summary attributes and perceived search quality.
501645,2867765,Predictive Adaptive Resonance Theory and Knowledge Discovery in Databases.
501218,2867764,Learning User Preferences on the WEB.
