aminerKey,title
1700703,Discriminative Subnetworks with Regularized Spectral Learning for Global-State Network Data.
2155989,Recommendations in Signed Social Networks.
2867530,SocNL: Bayesian Label Propagation with Confidence.
2867536,Clustering-Based Scalable Indexing for Multi-party Privacy-Preserving Record Linkage.
2155980,Sentiment Analysis on Microblogs for Natural Disasters Management: a Study on the 2014 Genoa Floodings.
2142053,Hierarchical Monte-Carlo Planning.
2142052,Collaborative Filtering Meets Mobile Recommendation: A User-Centered Approach.
2142051,Reasons for Beliefs in Understanding: Applications of Non-Monotonic Dependencies to Story Processing.
2145006,A General Proof Method for Modal Predicate Logic without the Barcan Formula.
2520114,Robust Treecode Approximation for Kernel Machines.
2142058,CHEF: A Model of Case-Based Planning.
2145008,Feature-Cost Sensitive Learning with Submodular Trees of Classifiers.
2154580,An Urban Fault Reporting and Management Platform for Smart Cities.
2154581,Porqpine: A Distributed and Collaborative Search Engine.
2140748,Multi-Objective MDPs with Conditional Lexicographic Reward Preferences.
2140745,Hotspotting - A Probabilistic Graphical Model For Image Object Localization Through Crowdsourcing.
2140744,Ad Hoc Autonomous Agent Teams: Collaboration without Pre-Coordination.
2140747,Concept-Based Approach to Word-Sense Disambiguation.
2140746,Online Learning and Profit Maximization from Revealed Preferences.
2140741,CCE: A Coupled Framework of Clustering Ensembles.
2140743,SMT-Based Verification of Hybrid Systems.
2517880,Box drawings for learning with imbalanced data.
1721931,Adaptive Data Skipping in Main-Memory Systems.
2888885,Multi-label image segmentation via max-sum solver.
2888884,Bundling features for large scale partial-duplicate web image search.
2888886,Domain Adaptation on the Statistical Manifold.
2888880,3D Pose from Motion for Cross-View Action Recognition via Non-linear Circulant Temporal Encoding.
2888882,Planar orientation from blur gradients in a single image.
1432989,LLAMA: Efficient graph analytics using Large Multiversioned Arrays.
2552255,On a Topic Model for Sentences.
2551509,The Automatic Indexing System AIR/PHYS -- From Research to Application.
2551507,"Salton Award Lecture: People, Interacting with Information."
2141838,Symmetric Subgame Perfect Equilibria in Resource Allocation.
2144849,Predicting Emotion Perception Across Domains: A Study of Singing and Speaking.
2144846,k-CoRating: Filling Up Data to Obtain Privacy and Utility.
2144844,Word Segmentation for Chinese Novels.
2141837,A Tractable First-Order Probabilistic Logic.
2141830,Connecting the Dots Using Contextual Information Hidden in Text and Images.
2141831,Multi-Stage Multi-Task Learning with Reduced Rank.
2143097,Discovering User Attribute Stylistic Differences via Paraphrasing.
2071492,Robust Spectral Learning for Unsupervised Feature Selection.
2147573,Poker-CNN: A Pattern Learning Strategy for Making Draws and Bets in Poker Games Using Convolutional Networks.
2147570,Social Rankings in Human-Computer Committees.
2147577,Language Independent Feature Extractor.
2147575,Intent Prediction and Trajectory Forecasting via Predictive Inverse Linear-Quadratic Regulation.
2147574,Commonsense Arithmetic Reasoning.
2147578,Multi-Level Cluster Indicator Decompositions of Matrices and Tensors.
2071030,Knowing an Object by the Company it Keeps: A Domain-Agnostic Scheme for Similarity Discovery.
3137022,Knowledge-Based Sequence Mining with ASP.
2550674,AOL's Named Entity Resolver: Solving Disambiguation via Document Strongly Connected Components and Ad-Hoc Edges Construction.
