Image Hub Explorer: Evaluating Representations and Metrics for Content-Based Image Retrieval and Object Recognition.,2013,ECML/PKDD (3)
Annotated Suffix Tree Similarity Measure for Text Summarization.,2015,DMNLP@PKDD/ECML
Consistency of Losses for Learning from Weak Labels.,2014,ECML/PKDD (1)
Simulated Iterative Classification A New Learning Procedure for Graph Labeling.,2009,ECML/PKDD (2)
A Multi-modal Metric Learning Framework for Time Series kNN Classification.,2015,AALTD@PKDD/ECML (Revised Selected Papers)
A Fast Ensemble Pruning Algorithm Based on Pattern Mining Process.,2009,ECML/PKDD (1)
Finding Incident-Related Social Media Messages for Emergency Awareness.,2016,ECML/PKDD (3)
Embedding with Autoencoder Regularization.,2013,ECML/PKDD (3)
k-Anonymous Decision Tree Induction.,2006,PKDD
Semi-supervised Document Clustering with Simultaneous Text Representation and Categorization.,2009,ECML/PKDD (1)
Scavenger - A Framework for Efficient Evaluation of Dynamic and Modular Algorithms.,2015,ECML/PKDD (3)
Learning Right Sized Belief Networks by Means of a Hybrid Methodology.,2000,PKDD
ClusTR: Exploring Multivariate Cluster Correlations and Topic Trends.,2009,ECML/PKDD (2)
COCOA: Compressed Continuity Analysis for Temporal Databases.,2004,PKDD
A Study on the Hierarchical Data Clustering Algorithm Based on Gravity Theory.,2001,PKDD
Relaxation Labeling for Selecting and Exploiting Efficiently Non-local Dependencies in Sequence Labeling.,2007,PKDD
A Community-Based Platform for Machine Learning Experimentation.,2009,ECML/PKDD (2)
Solving a Hard Cutting Stock Problem by Machine Learning and Optimisation.,2015,ECML/PKDD (1)
A Genetic Algorithm for Text Classification Rule Induction.,2008,ECML/PKDD (2)
Datum-Wise Classification: A Sequential Approach to Sparsity.,2011,ECML/PKDD (1)
An Online Policy Gradient Algorithm for Markov Decision Processes with Continuous States and Actions.,2014,ECML/PKDD (2)
Feature Selection Stability Assessment Based on the Jensen-Shannon Divergence.,2011,ECML/PKDD (1)
On Classifying Drifting Concepts in P2P Networks.,2010,ECML/PKDD (1)
Fuzzy Clustering of Series Using Quantile Autocovariances.,2015,AALTD@PKDD/ECML (Revised Selected Papers)
Semigeometric Tiling of Event Sequences.,2016,ECML/PKDD (1)
Circle Graphs: New Visualization Tools for Text-Mining.,1999,PKDD
Anomaly Detection in Vertically Partitioned Data by Distributed Core Vector Machines.,2013,ECML/PKDD (3)
Classifying Stem Cell Differentiation Images by Information Distance.,2012,ECML/PKDD (1)
Data Patterns Explained with Linked Data.,2015,ECML/PKDD (3)
CET: A Tool for Creative Exploration of Graphs.,2010,ECML/PKDD (3)
"Multi-Relational Data Mining, Using UML for ILP.",2000,PKDD
Learning with Mixture Models: Concepts and Applications.,2002,PKDD
Policy Iteration Based on a Learned Transition Model.,2012,ECML/PKDD (2)
Bayesian Multi-view Tensor Factorization.,2014,ECML/PKDD (1)
Concept of a Rule-based Configurator for Auto-WEKA Using OpenML.,2015,MetaSel@PKDD/ECML
Inference and Validation of Networks.,2009,ECML/PKDD (1)
Tracking Concept Change with Incremental Boosting by Minimization of the Evolving Exponential Loss.,2011,ECML/PKDD (1)
Common Substructure Learning of Multiple Graphical Gaussian Models.,2011,ECML/PKDD (2)
Efficient Frequent Connected Induced Subgraph Mining in Graphs of Bounded Tree-Width.,2013,ECML/PKDD (1)
ClowdFlows: A Cloud Based Scientific Workflow Platform.,2012,ECML/PKDD (2)
Branty: A Social Media Ranking Tool for Brands.,2014,ECML/PKDD (3)
Finding Dense Subgraphs in Relational Graphs.,2015,ECML/PKDD (2)
Trend Graphs: Visualizing the Evolution of Concept Relationships in Large Document Collections.,1998,PKDD
Incremental Exemplar Learning Schemes for Classification on Embedded Devices.,2008,ECML/PKDD (1)
An Incremental Algorithm for Mining Generators Representation.,2005,PKDD
Pushing-Down Tensor Decompositions over Unions to Promote Reuse of Materialized Decompositions.,2014,ECML/PKDD (1)
Automatic Model Adaptation for Complex Structured Domains.,2010,ECML/PKDD (2)
An Effective Recommender System for Highly Dynamic and Large Web Sites.,2004,PKDD
Dynamic Factor Graphs for Time Series Modeling.,2009,ECML/PKDD (2)
The Pattern Ordering Problem.,2003,PKDD
Interestingness is Not a Dichotomy: Introducing Softness in Constrained Pattern Mining.,2005,PKDD
Actively Interacting with Experts: A Probabilistic Logic Approach.,2016,ECML/PKDD (2)
Dependency Tree Kernels for Relation Extraction from Natural Language Text.,2009,ECML/PKDD (2)
Supervised Learning of Semantic Relatedness.,2012,ECML/PKDD (1)
Temporal Maximum Margin Markov Network.,2010,ECML/PKDD (1)
Efficiently Approximating Markov Tree Bagging for High-Dimensional Density Estimation.,2011,ECML/PKDD (3)
Causal Clustering for 2-Factor Measurement Models.,2014,ECML/PKDD (2)
Query Log Mining for Inferring User Tasks and Needs.,2016,ECML/PKDD (3)
Stream-Based Electricity Load Forecast.,2007,PKDD
Industrial Applications of Data Mining.,1998,PKDD
Fast Gaussian Pairwise Constrained Spectral Clustering.,2014,ECML/PKDD (1)
ParCube: Sparse Parallelizable Tensor Decompositions.,2012,ECML/PKDD (1)
Mr-SBC: A Multi-relational Naïve Bayes Classifier.,2003,PKDD
"How Long Will She Call Me? Distribution, Social Theory and Duration Prediction.",2013,ECML/PKDD (2)
